거미,600,나무 흔들기,"매월

7 PM ~ 8 AM",1
고추잠자리,180,​,"9월 ~ 10월

8 AM ~ 7 PM",1
골리앗왕꽃무지,8000,"나무에 붙어있음

(야자수)","6월 ~ 9월

5 PM ~ 8 AM",1
곰매미,500,나무에 붙어있음,"7월 ~ 8월

8 AM ~ 5 PM",1
공벌레,250,돌 때리기,"9월 ~ 6월

11 PM ~ 4 PM",1
길앞잡이,1500,​,"2월 ~ 10월

모든 시간",1
개미,80,썩은 무를 밖에 두면 주변에 생김,"매월

모든 시간",1
갯강구,200,해변가 검은돌,"매월

모든 시간",1
꿀벌,200,​,"3월 ~ 7월

8 AM ~ 5 PM",1
기라파톱사슴벌레,12000,나무에 붙어있음,"7월 ~ 8월

5 PM ~ 8 AM",1
긴수염대벌레,600,나무에 붙어있음,"7월 ~ 11월

4 AM ~ 8 AM,

5 PM ~ 7 PM",1
나방,130,저녁 이후 불 켜진 건물 주변,"매월

7 PM ~ 4 AM",1
노랑나비,160,​,"3월 ~ 6월,

9월 ~ 10월

4 AM ~ 7 PM",1
노린재,120,꽃 위,"3월 ~ 10월

모든 시간",1
달팽이,250,돌 위 (비오는 날),"매월

모든 시간",1
도롱이벌레,600,나무 흔들기,"매월

모든 시간",1
땅강아지,500,벌레소리 들리는 주변에 삽으로 땅파면 나옴,"11월 ~ 5월

모든 시간",1
루리하늘소,3000,잘린 나무 그루터기,"5월 ~ 9월

모든 시간",1
마다가스카르비단제비나방,2500,오전8시~오후4시,"4월 ~ 9월

8 AM ~ 4 PM",1
매미허물,10,나무에 붙어있음,"7월 ~ 8월

모든 시간",1
모기,130,필드에 매우 작게 보임,"6월 ~ 9월

5 PM ~ 4 AM",1
몰포나비,4000,​,"12월 ~ 3월

6월 ~ 9월

5 PM ~ 8 AM",1
무당벌레,200,꽃 위,"3월 ~ 6월

10월

8 AM ~ 5 PM",1
물방개,800,"연못, 강","5월 ~ 9월

8 AM ~ 7 PM",1
물장군,2000,"연못, 강","4월 ~ 9월

7 PM ~ 8 AM",1
뮤엘러리사슴벌레,6000,나무에 붙어있음,"6월 ~ 9월

7 PM ~ 8 AM",1
바이올린벌레,450,잘린 나무 그루터기,"5월 ~ 6월

9월 ~ 11월

모든 시간",1
반디,300,​,"6월

7 PM ~ 4 AM",1
방아깨비,200,​,"4월 ~ 11월

8 AM ~ 7 PM",1
배추흰나비,160,​,"9월 ~ 6월

4 AM ~ 7 PM",1
벌,2500,"나무 흔들기

(벌집이 떨어지면)

본인 섬에서 최대 5회

마일 섬에서 최대 1회","매월

모든 시간",1
벼룩,70,가려워하는 마을 주민에게 잠자리채 휘두르기,"4월 ~ 11월

모든 시간",1
보라금풍뎅이,300,​,"7월 ~ 11월

모든 시간",1
보석풍뎅이,10000,나무에 붙어있음,"7월 ~ 8월

11 PM ~ 8 AM",1
붉은목도리비단나비,2500,​,"12월 ~ 2월,

4월 ~ 9월

8 AM ~ 5 PM",1
비단벌레,2400,잘린 나무 그루터기,"4월 ~ 8월

모든 시간",1
사마귀,430,꽃 위,"3월 ~ 11월

8 AM ~ 5 PM",1
사슴벌레,1000,나무에 붙어있음,"7월 ~ 8월

모든 시간",1
섬풀무치,600,​,"8월 ~ 11월

8 AM ~ 7 PM",1
소금쟁이,130,연못,"5월 ~ 9월

8 AM ~ 7 PM",1
소라게,1000,저녁에 해변가 소라 처럼 보임,"매월

7 PM ~ 8 AM",1
실잠자리,500,​,"11월 ~ 2월

모든 시간",1
쓰르라미,550,나무에 붙어있음,"7월 ~ 8월

4 AM ~ 8 AM

4 PM ~ 7 PM",1
아그리아스나비,3000,​,"4월 ~ 9월

8 AM ~ 5 PM",1
아틀라스나방,3000,나무에 붙어있음,"4월 ~ 9월

7 PM ~ 4 AM",1
알락하늘소,350,잘린 나무 그루터기,"매월

모든 시간",1
알렉산드라비단제비나비,4000,​,"5월 ~ 9월

8 AM ~ 4 PM",1
여치,160,​,"7월 ~ 9월

8 AM ~ 5 PM",1
연꽃사마귀,2400,꽃 위,"3월 ~ 11월

8 AM ~ 5 PM",1
왕나비,140,​,"9월 ~ 11월

8 AM ~ 5 PM",1
왕사슴벌레,10000,나무에 붙어있음,"7월 ~ 8월

11 PM ~ 8 AM",1
왕얼룩나비,1000,​,"매월

8 AM ~ 7 PM",1
왕오색나비,3000,​,"5월 ~ 8월

4 AM ~ 7 PM",1
왕잠자리,230,​,"4월 ~ 10월

8 AM ~ 5 PM",1
유지매미,250,나무에 붙어있음,"7월 ~ 8월

8 AM ~ 5 PM",1
유포루스바구미,800,"나무에 붙어있음

(야자수)","7월 ~ 8월

모든 시간",1
인면노린재,1000,꽃 위,"3월 ~ 10월

7 PM ~ 8 AM",1
잎사귀벌레,600,나무주변 나뭇잎 모양,"7월 ~ 9월

모든 시간",1
엘라푸스가위사슴벌레,8000,"나무에 붙어있음

(야자수)","7월 ~ 8월

7 PM ~ 8 AM",1
장수잠자리,4500,​,"5월 ~ 10월

8 AM ~ 5 PM",1
장수풍뎅이,1350,나무에 붙어있음,"7월 ~ 8월

5 PM ~ 8 AM",1
전갈,8000,​,"5월 ~ 10월

7 PM ~ 4 AM",1
지네,300,돌 때리기,"9월 ~ 6월

4 PM ~ 11 PM",1
제비나비,2500,​,"3월 ~ 6월

4 AM ~ 7 PM",1
참매미,300,나무에 붙어있음,"7월 ~ 8월

8 AM ~ 5 PM",1
청띠제비나비,300,​,"4월 ~ 8월

4 AM ~ 7 PM",1
코끼리장수풍뎅이,8000,"나무에 붙어있음

(야자수)","7월 ~ 8월

5 PM ~ 8 AM",1
코카서스장수풍뎅이,8000,"나무에 붙어있음

(야자수)","7월 ~ 8월

5 PM ~ 8 AM",1
타란툴라,8000,​,"11월 ~ 4월

7 PM ~ 4 AM",1
톱사슴벌레,2000,나무에 붙어있음,"7월 ~ 8월

모든 시간",1
파리,60,"썩은 무, 폐품류(장화, 캔 등)를 두면 생김","매월

모든 시간",1
풍이,200,나무에 붙어있음,"6월 ~ 8월

모든 시간",1
호랑나비,240,​,"3월 ~ 9월

4 AM ~ 7 PM",1
헤라클레스장수풍뎅이,12000,"나무에 붙어있음

(야자수)","7월 ~ 8월

5 PM ~ 8 AM",1
황금 사슴벌레,12000,"나무에 붙어있음

(야자수)","7월 ~ 8월

5 PM ~ 8 AM",1
거거,900,,,2
뮤렉스조개,300,,,2
바지락,100,,,2
방석고둥,180,,,2
산호,500,,,2
소라고둥,700,,,2
연잎성게,120,,,2
자패,60,,,2
가물치,5500,연못,"6월 ~ 8월

9 AM ~ 4 PM",3
가시복,250,바다,"7월 ~ 9월

모든 시간",3
가아,6000,연못,"6월 ~ 9월

4 PM ~ 9 AM",3
가오리,3000,바다,"8월 ~ 11월

4 AM ~ 9 PM",3
가자미,300,바다,"10월 ~ 4월

모든 시간",3
가재,200,연못,"4월 ~ 9월

모든 시간",3
강꼬치고기,1800,강,"9월 ~ 12월

모든 시간",3
개구리,120,연못,"5월 ~ 8월

모든 시간",3
개복치,4000,바다,"7월 ~ 9월

4 AM ~ 9 PM",3
고래상어,13000,바다,"6월 ~ 9월

모든 시간",3
곰치,2000,바다,"8월 ~ 10월

모든 시간",3
구피,1300,강,"4월 ~ 11월

9 AM ~ 4 PM",3
귀상어,13000,바다,"6월 ~ 9월

4 PM ~ 9 AM",3
금붕어,1300,연못,"매월

모든 시간",3
금송어,15000,절벽 위,"3월 ~ 5월,

9월 ~ 11월

4 PM ~ 9 AM",3
나비고기,1000,바다,"4월 ~ 9월

모든 시간",3
나폴레옹피시,10000,바다,"7월 ~ 8월

4 AM ~ 9 PM",3
난주,4500,연못,"매월

9 AM ~ 4 PM",3
납줄개,900,강,"11월 ~ 3월

모든 시간",3
넙치,800,바다,"매월

모든 시간",3
네온테트라,500,강,"4월 ~ 11월

9 AM ~ 4 PM",3
농어,400,바다,"매월

모든 시간",3
늑대거북,5000,강,"4월 ~ 10월

PM 9 ~ AM 4",3
다랑어,7000,부둣가,"11월 ~ 4월

모든 시간",3
닥터피시,1500,강,"5월~9월

9 AM ~ 4 PM",3
데메니기스,15000,바다,"매월

9 PM ~ 4 AM",3
"도라도

(황금 연어)",15000,강,"6월 ~ 9월

4 AM ~ 9 PM",3
도미,3000,바다,"매월

모든 시간",3
돌돔,5000,바다,"3월 ~ 11월

모든 시간",3
동사리,400,강,"매월

4 PM ~ 9 AM",3
레인보우피시,800,강,"5월 ~ 10월

9 AM ~ 4 PM",3
리본장어,600,바다,"6월 ~ 10월

모든 시간",3
만새기,6000,부둣가,"5월 ~ 10월

모든 시간",3
멸치,200,바다,"매월

4 AM ~ 9 PM",3
무명갈전갱이,4500,부둣가,"5월 ~ 10월

모든 시간",3
메기,800,연못,"5월 ~ 10월

4 PM ~ 9 AM",3
미꾸라지,400,강,"3월 ~ 5월

모든 시간",3
베타,2500,강,"5월 ~ 10월

9 AM ~ 4 PM",3
복어,5000,바다,"11월 ~ 2월

9 PM ~ 4 AM",3
붕어,160,강,"매월

모든 시간",3
블루길,180,강,"매월

9 AM ~ 4 PM",3
블루탱,1000,바다,"4월 ~ 9월

모든 시간",3
비단잉어,4000,연못,"매월

4 PM ~ 9 AM",3
빨판상어,1500,바다,"6월 ~ 9월

모든 시간",3
산갈치,9000,바다,"12월 ~ 5월

모든 시간",3
산천어,1000,절벽 위,"3월 ~ 6월,

9월 ~ 11월

4 PM ~ 9 AM",3
상어,15000,바다,"6월 ~ 9월

4 PM ~ 9 AM",3
송사리,300,연못,"4월 ~ 8월

모든 시간",3
실러캔스,15000,"바다

(비오는 날)","매월

모든 시간",3
"쏠배감펭

(쏨뱅이)",500,바다,"4월 ~ 11월

모든 시간",3
아로와나,10000,강,"6월 ~ 9월

4 PM ~ 9 AM",3
연어,700,하구,"9월

모든 시간",3
열목어,3800,절벽 위,"3월 ~ 6월,

9월 ~ 11월

4 PM ~ 9 AM",3
오징어,500,바다,"12월 ~ 8월

모든 시간",3
올챙이,100,연못,"3월 ~ 7월

모든 시간",3
왕연어,1800,하구,"9월

모든 시간",3
은어,900,강,"7월 ~ 9월

모든 시간",3
옐로우퍼치,300,강,"10월 ~ 3월

모든 시간",3
일본연어,15000,절벽 위,"12월 ~ 3월

4 PM ~ 9 AM",3
잉어,300,연못,"매월

모든 시간",3
엔드리케리,4000,강,"6월 ~ 9월

9 PM ~ 4 AM",3
자라,3750,강,"8월 ~ 9월

4 PM ~ 9 AM",3
전갱이,150,바다,"매월

모든 시간",3
천사어,3000,강,"5월 ~ 10월

4 PM ~ 9 AM",3
철갑상어,10000,하구,"9월 ~ 3월

모든 시간",3
청새치,10000,부둣가,"11월 ~ 4월

7월 ~ 9월

모든 시간",3
초롱아귀,2500,바다,"11월 ~ 3월

4 PM ~ 9 AM",3
큰입배스,400,강,"매월

모든 시간",3
클리오네,1000,바다,"12월 ~ 3월

모든 시간",3
톱상어,12000,바다,"6월 ~ 9월

4 PM ~ 9 AM",3
툭눈금붕어,1300,연못,"매월

9 AM ~ 4 PM",3
틸라피아,800,강,"6월 ~ 10월

모든 시간",3
피라니아,2500,강,"6월 ~ 9월

9 AM ~ 4 PM

9 PM ~ 4 AM",3
피라루쿠,10000,강,"6월 ~ 9월

4 PM ~ 9 AM",3
피라미,200,강,"매월

9 AM ~ 4 PM",3
해마,1100,바다,"4월 ~ 11월

모든 시간",3
황어,240,강,"매월

4 PM ~ 9 AM",3
흰동가리,650,바다,"4월 ~ 9월

모든 시간
[출처] 모여봐요 동물의 숲 아이템 매입 가격표|작성자 테리",3
가든일,1100,,"5월 ~ 10월

4 AM ~ 9 PM",4
가리비,1200,,"매월

모든 시간",4
굴,1100,,"9월 ~ 2월

모든 시간",4
갯가재,2500,,"매월

4 PM ~ 9 AM",4
갯민숭달팽이,600,,"매월

모든 시간",4
꽃게,2200,,"6월 ~ 11월

모든 시간",4
납작벌레,700,,"8월 ~ 9월

4 PM ~ 9 AM",4
닭새우,5000,,"10월 ~ 12월

9 PM ~ 4 AM",4
던지니스크랩,1900,,"11월 ~ 5월

모든 시간",4
대게,6000,,"11월 ~ 4월

모든 시간",4
대왕거거,15000,,"5월 ~ 9월

모든 시간",4
따개비,600,,"매월

모든 시간",4
말미잘,500,,"매월

모든 시간",4
멍게,1500,,"4월 ~ 8월

모든 시간",4
문어,1200,,"매월

모든 시간",4
미역,600,,"10월 ~ 7월

모든 시간",4
바다돼지,10000,,"11월 ~ 2월

4 PM ~ 9 AM",4
바다포도,900,,"6월 ~ 9월

모든 시간",4
바닷가재,4500,,"12월 ~ 1월, 4월 ~ 6월

모든 시간",4
반딧불오징어,1400,,"3월 ~ 6월

9 PM ~ 4 AM",4
보름달물해파리,600,,"7월 ~ 9월

모든 시간",4
보리새우,3000,,"6월 ~ 9월

4 PM ~ 9 AM",4
북쪽분홍새우,1400,,"9월 ~ 2월

4 PM ~ 9 AM",4
불가사리,500,,"매월

모든 시간",4
성게,1700,,"5월 ~ 9월

모든 시간",4
소라,1000,,"3월 ~ 5월, 9월 ~ 12월

모든 시간",4
수랑,1000,,"매월

모든 시간",4
우무문어,6000,,"3월 ~ 5월, 9월 ~ 11월

모든 시간",4
왕게,8000,,"11월 ~ 3월

모든 시간",4
앵무조개,1800,,"3월 ~ 6월

4 PM ~ 9 AM",4
연필성게,2000,,"5월 ~ 9월

4 PM ~ 9 AM",4
자이언트 이소포드,12000,,"7월 ~ 10월

9 AM ~ 4 PM,

9 PM ~ 4 AM",4
전복,2000,,"6월 ~ 1월

4 PM ~ 9 AM",4
지중해담치,1500,,"6월 ~ 12월

모든 시간",4
진주,10000,,​,4
진주조개,2800,,"매월

모든 시간",4
키다리게,12000,,"3월 ~ 4월

모든 시간",4
투구게,2500,,"7월 ~ 9월

9 PM ~ 4 AM",4
해로동혈,5000,,"10월 ~ 2월

모든 시간",4
해삼,500,,"11월 ~ 4월

모든 시간",4
흡혈오징어,10000,,"5월 ~ 8월

4 PM ~ 9 AM",4